lat,lon,street,postcode,housenumber,city
25.7993281,-80.1449011,Sunset Drive,33140,2300,Miami Beach
25.8041329,-80.1448761,Sunset Drive,33140,2767,Miami Beach
25.8028974,-80.1453202,Sunset Drive,33140,2700,Miami Beach
