lat,lon,street,postcode,housenumber,city,state,country
40.4245838,-80.025147,Shadycrest Road,15216,747,Pittsburgh,PA,US
40.4246316,-80.025149,Shadycrest Road,15216,745,Pittsburgh,PA,US
40.4247296,-80.025176,Shadycrest Road,15216,743,Pittsburgh,PA,US
40.4247828,-80.0251782,Shadycrest Road,15216,741,Pittsburgh,PA,US
40.4251161,-80.0255591,Shadycrest Road,15216,731,Pittsburgh,PA,US
40.4251323,-80.0256132,Shadycrest Road,15216,729,Pittsburgh,PA,US
